id,strategy,date,total,passed,profitRate,year,month
288,GrowSpeed,2004/1/10 0:00,10,4,0.02,2004,1
289,GrowSpeed,2004/2/9 0:00,10,2,-0.04,2004,2
290,GrowSpeed,2004/3/10 0:00,10,6,0.04,2004,3
291,GrowSpeed,2004/4/9 0:00,10,1,-0.2,2004,4
292,GrowSpeed,2004/5/9 0:00,10,2,-0.11,2004,5
293,GrowSpeed,2004/6/8 0:00,10,1,-0.16,2004,6
294,GrowSpeed,2004/7/8 0:00,10,3,-0.08,2004,7
295,GrowSpeed,2004/8/7 0:00,10,0,-0.15,2004,8
296,GrowSpeed,2004/9/6 0:00,10,8,0.13,2004,9
297,GrowSpeed,2004/10/6 0:00,10,1,-0.1,2004,10
298,GrowSpeed,2004/11/5 0:00,10,6,0.03,2004,11
299,GrowSpeed,2004/12/5 0:00,10,1,-0.07,2004,12
300,GrowSpeed,2005/1/4 0:00,10,3,-0.06,2005,1
301,GrowSpeed,2005/2/3 0:00,10,7,0.04,2005,2
302,GrowSpeed,2005/3/5 0:00,10,4,0.02,2005,3
303,GrowSpeed,2005/4/4 0:00,10,5,0.01,2005,4
304,GrowSpeed,2005/5/4 0:00,10,0,-0.25,2005,5
305,GrowSpeed,2005/6/3 0:00,7,3,-0.01,2005,6
306,GrowSpeed,2005/7/3 0:00,9,5,0.01,2005,7
307,GrowSpeed,2005/8/2 0:00,9,7,0.06,2005,8
308,GrowSpeed,2005/9/1 0:00,9,4,-0.01,2005,9
309,GrowSpeed,2005/10/1 0:00,8,5,0,2005,10
310,GrowSpeed,2005/10/31 0:00,9,5,0.02,2005,10
311,GrowSpeed,2005/11/30 0:00,9,5,0.04,2005,11
312,GrowSpeed,2005/12/30 0:00,9,6,0.02,2005,12
313,GrowSpeed,2006/1/29 0:00,9,4,-0.01,2006,1
314,GrowSpeed,2006/2/28 0:00,9,6,0.04,2006,2
315,GrowSpeed,2006/3/30 0:00,9,8,0.27,2006,3
316,GrowSpeed,2006/4/29 0:00,9,6,0.08,2006,4
317,GrowSpeed,2006/5/29 0:00,9,5,0,2006,5
318,GrowSpeed,2006/6/28 0:00,9,4,-0.04,2006,6
319,GrowSpeed,2006/7/28 0:00,9,2,-0.03,2006,7
320,GrowSpeed,2006/8/27 0:00,9,3,-0.05,2006,8
321,GrowSpeed,2006/9/26 0:00,9,5,0.02,2006,9
322,GrowSpeed,2006/10/26 0:00,9,4,0.07,2006,10
323,GrowSpeed,2006/11/25 0:00,9,7,0.14,2006,11
324,GrowSpeed,2006/12/25 0:00,9,9,0.24,2006,12
325,GrowSpeed,2007/1/24 0:00,9,4,0.02,2007,1
326,GrowSpeed,2007/2/23 0:00,9,3,-0.01,2007,2
327,GrowSpeed,2007/3/25 0:00,9,5,0.04,2007,3
328,GrowSpeed,2007/4/24 0:00,9,5,-0.04,2007,4
329,GrowSpeed,2007/5/24 0:00,9,4,0.02,2007,5
330,GrowSpeed,2007/6/23 0:00,9,5,0.09,2007,6
331,GrowSpeed,2007/7/23 0:00,9,4,-0.05,2007,7
332,GrowSpeed,2007/8/22 0:00,9,4,0.15,2007,8
333,GrowSpeed,2007/9/21 0:00,9,5,0.05,2007,9
334,GrowSpeed,2007/10/21 0:00,9,2,-0.11,2007,10
335,GrowSpeed,2007/11/20 0:00,9,5,0.06,2007,11
336,GrowSpeed,2007/12/20 0:00,9,8,0.13,2007,12
337,GrowSpeed,2008/1/19 0:00,9,0,-0.11,2008,1
338,GrowSpeed,2008/2/18 0:00,9,1,-0.19,2008,2
339,GrowSpeed,2008/3/19 0:00,8,0,-0.25,2008,3
340,GrowSpeed,2008/4/18 0:00,9,6,0.12,2008,4
341,GrowSpeed,2008/5/18 0:00,9,1,-0.33,2008,5
342,GrowSpeed,2008/6/17 0:00,9,4,0.01,2008,6
343,GrowSpeed,2008/7/17 0:00,9,1,-0.22,2008,7
